GOAL-Sales;Date Local;tv_sponsorships;tv_cricket;tv_RON;radio;NPP;Magazines;OOH;Social;Programmatic;Display_Rest;Search;year;day
1.8333333333333333;2001-01-01;1.6770176437108708;1.340211073722851;1.184772410295423;1.7620967741935483;1.6869933906970944;1.8737373737373737;1.8000000000000003;1.6782993197278913;2.0;1.678299319727891;1.6770176437108708;2001;Monday
1.3577235772357725;2001-01-02;1.1277177006260672;1.065794840420108;1.0357339081188452;1.7923387096774193;1.4465644095273724;1.5694444444444444;1.8000000000000003;1.1311791383219956;2.0;1.1311791383219953;1.1277177006260672;2001;Tuesday
1.3130081300813008;2001-01-03;1.046920887877063;1.0254308147241766;1.013811757744812;1.9254032258064515;1.6879910213243547;1.875;1.8000000000000003;1.050702947845805;2.0;1.050702947845805;1.0469208878770633;2001;Wednesday
1.6869918699186992;2001-01-04;1.4443938531587934;1.2239981645763232;1.1216558894383162;1.8326612903225805;1.5802469135802468;1.7386363636363638;1.8000000000000003;1.4465986394557824;2.0;1.4465986394557822;1.4443938531587937;2001;Thursday
1.459349593495935;2001-01-05;1.5311098463289698;1.2673192617518099;1.1451840581547694;1.217741935483871;1.5792492829529867;1.7373737373737375;1.8000000000000003;1.5329705215419502;2.0;1.5329705215419502;1.5311098463289698;2001;Friday
1.2276422764227641;2001-01-06;1.0217643710870803;1.0128632609360662;1.006986179789527;1.9858870967741935;1.7448559670781894;1.946969696969697;1.8000000000000003;1.0256462585034014;2.0;1.0256462585034014;1.0217643710870803;2001;Saturday
1.4146341463414633;2001-01-07;1.166192373363688;1.0850158050372183;1.0461730273445755;1.661290322580645;1.231076194039157;1.2967171717171717;1.8000000000000003;1.1695011337868482;2.0;1.1695011337868482;1.166192373363688;2001;Sunday
1.4715447154471546;2001-01-08;1.3517586795674446;1.1777199959212807;1.096521702379443;1.3951612903225807;1.1123581493951864;1.1464646464646464;1.8000000000000003;1.3543310657596372;2.0;1.354331065759637;1.3517586795674446;2001;Monday
1.1300813008130082;2001-01-09;1.0214684120660216;1.0127154073620883;1.0069058788724061;1.0423387096774193;1.0066093029055991;1.0126262626262625;1.8000000000000003;1.0253514739229026;2.0;1.0253514739229024;1.0214684120660216;2001;Tuesday
1.3658536585365852;2001-01-10;1.587342060330108;1.2954114408075865;1.1604412324077595;1.0524193548387097;1.208130689612171;1.2676767676767677;1.8000000000000003;1.5889795918367347;2.0;1.5889795918367344;1.587342060330108;2001;Wednesday
1.2845528455284554;2001-01-11;1.0529311326124076;1.0977312123993066;1.2514263978699125;1.1169354838709677;1.2380596084299789;1.3055555555555556;1.8000000000000003;1.6782993197278913;2.0;1.678299319727891;1.6770176437108708;2001;Thursday
1.6422764227642275;2001-01-12;1.0529311326124076;1.3174416233302744;1.816660327120578;1.4838709677419355;1.036538221723407;1.0505050505050506;1.8000000000000003;1.6782993197278913;2.0;1.678299319727891;1.6770176437108708;2001;Friday
1.3089430894308944;2002-01-01;1.0529311326124076;1.0351891506067095;1.0905287181437808;1.7076612903225805;1.654071579997506;1.8320707070707072;1.8000000000000003;1.6782993197278913;2.0;1.678299319727891;1.6770176437108708;2002;Tuesday
1.3292682926829267;2002-01-02;1.0529311326124076;1.1441572346283266;1.3708634461772538;1.153225806451613;1.0684624017957352;1.0909090909090908;1.8000000000000003;1.0;2.0;1.678299319727891;1.6770176437108708;2002;Wednesday
1.7073170731707317;2002-01-03;1.0529311326124076;1.3017691444886306;1.7763408139977175;1.663306451612903;1.4555430851727147;1.5808080808080809;1.8000000000000003;1.0;2.0;1.678299319727891;1.6770176437108708;2002;Thursday
1.8455284552845528;2002-01-04;1.0529311326124076;1.2889058835525644;1.7432483834157475;1.9616935483870968;1.5243795984536725;1.6679292929292928;1.8000000000000003;1.0;2.0;1.678299319727891;1.6770176437108708;2002;Friday
1.3943089430894309;2002-01-07;1.0529311326124076;1.1023146731926174;1.2632179535945225;1.4133064516129032;1.1791994014216236;1.231060606060606;1.8000000000000003;1.0;2.0;1.678299319727891;1.6770176437108708;2002;Monday
1.5284552845528454;2002-01-08;1.0529311326124076;1.2177883144692567;1.5602890833016354;1.4818548387096775;1.1871804464397058;1.2411616161616161;1.8000000000000003;1.0;2.0;1.678299319727891;1.6770176437108708;2002;Tuesday
1.6666666666666665;2002-01-09;1.0529311326124076;1.3229122055674518;1.8307341194370483;1.558467741935484;1.529367751589974;1.6742424242424243;1.8000000000000003;1.0;2.0;1.678299319727891;1.6770176437108708;2002;Wednesday
1.443089430894309;2002-01-10;1.0529311326124076;1.3510043846232285;1.9030049448459487;1.1028225806451613;1.231076194039157;1.2967171717171717;1.8000000000000003;1.0;2.0;1.678299319727891;1.6770176437108708;2002;Thursday
